央视频道-深圳移动,#genre#
咪视界1,http://120.198.234.199:8088/000000001001/1.m3u8?cmcc_cid=PLTV/651/224/3221227678&HlsProfileId=
咪视界2,http://120.198.234.199:8088/000000001001/1.m3u8?cmcc_cid=PLTV/651/224/3221227827&HlsProfileId=
咪视界3,http://120.198.234.196:8088/000000001001/1.m3u8?cmcc_cid=PLTV/651/224/3221227831&HlsProfileId=
咪视界4,http://120.198.234.195:8088/000000001001/1.m3u8?cmcc_cid=PLTV/651/224/3221227835&HlsProfileId=
咪视界5,http://120.198.234.196:8088/000000001001/1.m3u8?cmcc_cid=PLTV/651/224/3221227839&HlsProfileId=
咪视界6,http://120.198.234.199:8088/000000001001/1.m3u8?cmcc_cid=PLTV/651/224/3221227843&HlsProfileId=
咪视界7,http://120.198.234.196:8088/000000001001/1.m3u8?cmcc_cid=PLTV/651/224/3221227847&HlsProfileId=
咪视界8,http://120.198.234.199:8088/000000001001/1.m3u8?cmcc_cid=PLTV/651/224/3221227851&HlsProfileId=
咪视界9,http://120.198.234.197:8088/000000001001/1.m3u8?cmcc_cid=PLTV/651/224/3221227855&HlsProfileId=
咪视界10,http://120.198.234.197:8088/000000001001/1.m3u8?cmcc_cid=PLTV/651/224/3221227870&HlsProfileId=
咪视界11,http://120.198.234.194:8088/000000001001/1.m3u8?cmcc_cid=PLTV/651/224/3221227874&HlsProfileId=
咪视界12,http://120.198.234.195:8088/000000001001/1.m3u8?cmcc_cid=PLTV/651/224/3221227875&HlsProfileId=
咪视界13,http://120.198.234.195:8088/000000001001/1.m3u8?cmcc_cid=PLTV/651/224/3221227877&HlsProfileId=
咪视界14,http://120.198.234.198:8088/000000001001/1.m3u8?cmcc_cid=PLTV/651/224/3221227878&HlsProfileId=
咪视界15,http://120.198.234.199:8088/000000001001/1.m3u8?cmcc_cid=PLTV/651/224/3221227881&HlsProfileId=
咪视界16,http://120.198.234.198:8088/000000001001/1.m3u8?cmcc_cid=PLTV/651/224/3221227882&HlsProfileId=
咪视界17,http://120.198.234.198:8088/000000001001/1.m3u8?cmcc_cid=PLTV/651/224/3221227884&HlsProfileId=
咪视界18,http://120.198.234.197:8088/000000001001/1.m3u8?cmcc_cid=PLTV/651/224/3221227885&HlsProfileId=
咪视界19,http://120.198.234.194:8088/000000001001/1.m3u8?cmcc_cid=PLTV/651/224/3221227886&HlsProfileId=
央视-成都JD源
CCTV1综合,http://182.150.115.26:5003/cctv1.m3u8
CCTV2财经,http://182.150.115.26:5003/cctv2.m3u8
CCTV3综艺,http://182.150.115.26:5003/cctv3.m3u8
CCTV4中文国际,http://182.150.115.26:5003/cctv4.m3u8
CCTV5体育,http://182.150.115.26:5003/cctv5.m3u8
CCTV6电影,http://182.150.115.26:5003/cctv6.m3u8
CCTV7国防军事,http://182.150.115.26:5003/cctv7.m3u8
CCTV8电视剧,http://182.150.115.26:5003/cctv8.m3u8
CCTV9纪录,http://182.150.115.26:5003/cctv9.m3u8
CCTV10科教,http://182.150.115.26:5003/cctv10.m3u8
CCTV11戏曲,http://182.150.115.26:5003/cctv11.m3u8
CCTV12社会与法,http://182.150.115.26:5003/cctv12.m3u8
CCTV13新闻,http://182.150.115.26:5003/cctv13.m3u8
CCTV14少儿,http://182.150.115.26:5003/cctv14.m3u8
CCTV15音乐,http://182.150.115.26:5003/cctv15.m3u8
CCTV16奥林匹克,http://182.150.115.26:5003/cctv16.m3u8
CCTV17农业农村,http://182.150.115.26:5003/cctv17.m3u8
卫视-成都JD源
北京卫视,http://182.150.115.26:5003/bjws.m3u8
东方卫视,http://182.150.115.26:5003/dfws.m3u8
天津卫视,http://182.150.115.26:5003/tjws.m3u8
重庆卫视,http://182.150.115.26:5003/cqws.m3u8
黑龙江卫视,http://182.150.115.26:5003/hljws.m3u8
吉林卫视,http://182.150.115.26:5003/jlws.m3u8
辽宁卫视,http://182.150.115.26:5003/lnws.m3u8
内蒙古卫视,http://182.150.115.26:5003/neimenggu.m3u8
宁夏卫视,http://182.150.115.26:5003/linxws.m3u8
甘肃卫视,http://182.150.115.26:5003/gsws.m3u8
青海卫视,http://182.150.115.26:5003/qhws.m3u8
陕西卫视,http://182.150.115.26:5003/shxws.m3u8
河北卫视,http://182.150.115.26:5003/hebeiws.m3u8
山西卫视,http://182.150.115.26:5003/sxws.m3u8
山东卫视,http://182.150.115.26:5003/sdws.m3u8
安徽卫视,http://182.150.115.26:5003/ahws.m3u8
河南卫视,http://182.150.115.26:5003/hnws.m3u8
湖北卫视,http://182.150.115.26:5003/hbws.m3u8
湖南卫视,http://182.150.115.26:5003/hunanws.m3u8
江西卫视,http://182.150.115.26:5003/jxws.m3u8
江苏卫视,http://182.150.115.26:5003/jsws.m3u8
浙江卫视,http://182.150.115.26:5003/zjws.m3u8
东南卫视,http://182.150.115.26:5003/dnws.m3u8
厦门卫视,http://182.150.115.26:5003/xmws.m3u8
广东卫视,http://182.150.115.26:5003/gdws.m3u8
深圳卫视,http://182.150.115.26:5003/szws.m3u8
广西卫视,http://182.150.115.26:5003/gxws.m3u8
云南卫视,http://182.150.115.26:5003/ynws.m3u8
贵州卫视,http://182.150.115.26:5003/gzws.m3u8
四川卫视,http://182.150.115.26:5003/scws.m3u8
新疆卫视,http://182.150.115.26:5003/xjws.m3u8
西藏卫视,http://182.150.115.26:5003/xzws.m3u8
海南卫视,http://182.150.115.26:5003/custom14.
三沙卫视,http://182.150.115.26:5003/custom15.m3u8
其它-成都JD源
四川经济,http://182.150.115.26:5003/custom1.m3u8
四川文化旅游,http://182.150.115.26:5003/custom2.m3u8
四川新闻,http://182.150.115.26:5003/custom3.m3u8
四川影视文艺,http://182.150.115.26:5003/custom4.m3u8
四川妇女儿童,http://182.150.115.26:5003/custom5.m3u8
四川峨眉电影,http://182.150.115.26:5003/custom6.m3u8
四川乡村,http://182.150.115.26:5003/custom7.m3u8
四川科教,http://182.150.115.26:5003/custom8.m3u8
成都一套,http://182.150.115.26:5003/custom9.m3u8
成都二套,http://182.150.115.26:5003/custom10.m3u8
成都三套,http://182.150.115.26:5003/custom11.m3u8
成都四套,http://182.150.115.26:5003/custom12.m3u8
成都五套,http://182.150.115.26:5003/custom13.m3u8
金鹰卡通,http://182.150.115.26:5003/custom16.m3u8
CHC影迷电影,http://182.150.115.26:5003/custom28.m3u8
上海移动央视V6,#genre#
CCTV1,http://[2409:8087:1e01:20::3]/PLTV/11/224/3221225673/1.m3u8
CCTV1,http://[2409:8087:1e01:20::3]/PLTV/11/224/3221225723/1.m3u8
CCTV1,http://[2409:8087:1e01:20::3]/PLTV/11/224/3221225770/1.m3u8
CCTV1,http://[2409:8087:1e01:20::3]/PLTV/11/224/3221226163/1.m3u8
CCTV2,http://[2409:8087:1e01:20::3]/PLTV/11/224/3221226122/1.m3u8
CCTV3,http://[2409:8087:1e01:20::3]/PLTV/11/224/3221225766/1.m3u8
CCTV3,http://[2409:8087:1e01:20::3]/PLTV/11/224/3221226165/1.m3u8
CCTV4,http://[2409:8087:1e01:20::3]/PLTV/11/224/3221226124/1.m3u8
CCTV5,http://[2409:8087:1e01:20::3]/PLTV/11/224/3221225734/1.m3u8
CCTV5,http://[2409:8087:1e01:20::3]/PLTV/11/224/3221226146/1.m3u8
CCTV6,http://[2409:8087:1e01:20::3]/PLTV/11/224/3221225741/1.m3u8
CCTV6,http://[2409:8087:1e01:20::3]/PLTV/11/224/3221226148/1.m3u8
CCTV7,http://[2409:8087:1e01:20::3]/PLTV/11/224/3221225701/1.m3u8
CCTV7,http://[2409:8087:1e01:20::3]/PLTV/11/224/3221226143/1.m3u8
CCTV7,http://[2409:8087:1e01:20::3]/PLTV/11/224/3221226137/1.m3u8
CCTV8,http://[2409:8087:1e01:20::3]/PLTV/11/224/3221225736/1.m3u8
CCTV8,http://[2409:8087:1e01:20::3]/PLTV/11/224/3221226167/1.m3u8
CCTV10,http://[2409:8087:1e01:20::3]/PLTV/11/224/3221225743/1.m3u8
CCTV10,http://[2409:8087:1e01:20::3]/PLTV/11/224/3221226169/1.m3u8
CCTV11,http://[2409:8087:1e01:20::3]/PLTV/11/224/3221226101/1.m3u8
CCTV11,http://[2409:8087:1e01:20::3]/PLTV/11/224/3221226145/1.m3u8
CCTV12,http://[2409:8087:1e01:20::3]/PLTV/11/224/3221226103/1.m3u8
CCTV12,http://[2409:8087:1e01:20::3]/PLTV/11/224/3221226126/1.m3u8
CCTV13,http://[2409:8087:1e01:20::3]/PLTV/11/224/3221226128/1.m3u8
CCTV14,http://[2409:8087:1e01:20::3]/PLTV/11/224/3221225738/1.m3u8
CCTV14,http://[2409:8087:1e01:20::3]/PLTV/11/224/3221226150/1.m3u8
CCTV15,http://[2409:8087:1e01:20::3]/PLTV/11/224/3221226147/1.m3u8
CCTV16,http://[2409:8087:1e01:20::3]/PLTV/11/224/3221226120/1.m3u8
CETV1,http://[2409:8087:1e01:20::3]/PLTV/11/224/3221225775/1.m3u8
CETV4,http://[2409:8087:1e01:20::3]/PLTV/11/224/3221226153/1.m3u8
CETV4,http://[2409:8087:1e01:20::3]/PLTV/11/224/3221226069/1.m3u8
CGTN,http://[2409:8087:1e01:20::3]/PLTV/11/224/3221226016/1.m3u8
上海移动卫视V6,#genre#
江苏卫视,http://[2409:8087:1e01:20::3]/PLTV/11/224/3221225720/1.m3u8
黑龙江卫视,http://[2409:8087:1e01:20::3]/PLTV/11/224/3221225722/1.m3u8
东方卫视,http://[2409:8087:1e01:20::3]/PLTV/11/224/3221225725/1.m3u8
北京卫视,http://[2409:8087:1e01:20::3]/PLTV/11/224/3221225724/1.m3u8
湖南卫视,http://[2409:8087:1e01:20::3]/PLTV/11/224/3221225726/1.m3u8
浙江卫视,http://[2409:8087:1e01:20::3]/PLTV/11/224/3221225727/1.m3u8
深圳卫视,http://[2409:8087:1e01:20::3]/PLTV/11/224/3221225728/1.m3u8
湖北卫视,http://[2409:8087:1e01:20::3]/PLTV/11/224/3221225729/1.m3u8
安徽卫视,http://[2409:8087:1e01:20::3]/PLTV/11/224/3221225739/1.m3u8
江西卫视,http://[2409:8087:1e01:20::3]/PLTV/11/224/3221225740/1.m3u8
天津卫视,http://[2409:8087:1e01:20::3]/PLTV/11/224/3221225742/1.m3u8
广东卫视,http://[2409:8087:1e01:20::3]/PLTV/11/224/3221225731/1.m3u8
山东卫视,http://[2409:8087:1e01:20::3]/PLTV/11/224/3221225733/1.m3u8
东南卫视,http://[2409:8087:1e01:20::3]/PLTV/11/224/3221225745/1.m3u8
辽宁卫视,http://[2409:8087:1e01:20::3]/PLTV/11/224/3221225747/1.m3u8
西藏卫视,http://[2409:8087:1e01:20::3]/PLTV/11/224/3221225767/1.m3u8
康巴卫视,http://[2409:8087:1e01:20::3]/PLTV/11/224/3221225773/1.m3u8
