广东电信,#genre#
南方购物,rtsp://183.59.160.61/PLTV/88888905/224/3221227200/10000100000000060000000000987154_0.smil?rrsip=125.88.70.140,rrsip=125.88.104.45&zoneoffset=480&icpid=1111116&limitflux=-1&limitdur=-1&tenantId=8601&accountinfo=%7E%7EV2.0%7EMF-Mtg59QFua_7gpd56hOA%7EZYIp730Dq_eFcfJ0_XfdgDfdy-XkoGL2fnmkoBVtANKWFLa-t3x3nFn79cGQSixecprzhIwphk9uGR-Y95jH24Slb1W8BIo8vm2kE85Rw0o%7EExtInfoPC2ZKLw95m5z2wHEEFeSaQ%3A20231024184041%2C10500005255271%2C10.101.240.206%2C20231024184041%2C02000001000000050000000000000389%2C10001000377133%2C-1%2C0%2C1%2C%2C%2C2%2C%2C%2C%2C2%2C%2C10000100000000060000000000987154_0%2CEND&GuardEncType=2
岭南戏曲,rtsp://183.59.160.61/PLTV/88888905/224/3221227225/10000100000000060000000000990089_0.smil?rrsip=125.88.70.140,rrsip=125.88.104.45&zoneoffset=480&icpid=1111116&limitflux=-1&limitdur=-1&tenantId=8601&accountinfo=%7E%7EV2.0%7EYsKROw2rZlJes0VUN3WYFg%7EZYIp730Dq_eFcfJ0_XfdgDfdy-XkoGL2fnmkoBVtANKWFLa-t3x3nFn79cGQSixecprzhIwphk9uGR-Y95jH24Slb1W8BIo8vm2kE85Rw0o%7EExtInfoPC2ZKLw95m5z2wHEEFeSaQ%3A20231024184041%2C10500005255271%2C10.101.240.206%2C20231024184041%2C02000001000000050000000000000385%2C10001000377133%2C-1%2C0%2C1%2C%2C%2C2%2C%2C%2C%2C2%2C%2C10000100000000060000000000990089_0%2CEND&GuardEncType=2
现代教育,rtsp://183.59.160.61/PLTV/88888905/224/3221227233/10000100000000060000000000990060_0.smil?rrsip=125.88.70.140,rrsip=125.88.104.45&zoneoffset=480&icpid=1111116&limitflux=-1&limitdur=-1&tenantId=8601&accountinfo=%7E%7EV2.0%7ErpnAWPzVSGsDYusX2iDFVw%7EZYIp730Dq_eFcfJ0_XfdgDfdy-XkoGL2fnmkoBVtANKWFLa-t3x3nFn79cGQSixecprzhIwphk9uGR-Y95jH24Slb1W8BIo8vm2kE85Rw0o%7EExtInfoPC2ZKLw95m5z2wHEEFeSaQ%3A20231024184041%2C10500005255271%2C10.101.240.206%2C20231024184041%2C02000001000000050000000000000381%2C10001000377133%2C-1%2C0%2C1%2C%2C%2C2%2C%2C%2C%2C2%2C%2C10000100000000060000000000990060_0%2CEND&GuardEncType=2
CCTV-1综合,rtsp://183.59.160.61/PLTV/88888905/224/3221227255/10000100000000060000000001066420_0.smil?rrsip=125.88.70.140,rrsip=125.88.104.45&zoneoffset=480&icpid=1111116&limitflux=-1&limitdur=-1&tenantId=8601&accountinfo=%7E%7EV2.0%7EN_FKVK17tO2JAbPhVqWAYw%7EZYIp730Dq_eFcfJ0_XfdgDfdy-XkoGL2fnmkoBVtANKWFLa-t3x3nFn79cGQSixecprzhIwphk9uGR-Y95jH24Slb1W8BIo8vm2kE85Rw0o%7EExtInfoPC2ZKLw95m5z2wHEEFeSaQ%3A20231024184041%2C10500005255271%2C10.101.240.206%2C20231024184041%2C02000000000000050000000000000055%2C10001000377133%2C-1%2C0%2C1%2C%2C%2C2%2C%2C%2C%2C2%2C%2C10000100000000060000000001066420_0%2CEND&GuardEncType=2
CCTV-2财经,rtsp://183.59.160.61/PLTV/88888905/224/3221227316/10000100000000060000000001066428_0.smil?rrsip=125.88.70.140,rrsip=125.88.104.45&zoneoffset=480&icpid=1111116&limitflux=-1&limitdur=-1&tenantId=8601&accountinfo=%7E%7EV2.0%7EoxuN3Sh2ENJR__RhZsCXvQ%7EZYIp730Dq_eFcfJ0_XfdgDfdy-XkoGL2fnmkoBVtANKWFLa-t3x3nFn79cGQSixecprzhIwphk9uGR-Y95jH24Slb1W8BIo8vm2kE85Rw0o%7EExtInfoPC2ZKLw95m5z2wHEEFeSaQ%3A20231024184041%2C10500005255271%2C10.101.240.206%2C20231024184041%2C02000000000000050000000000000058%2C10001000377133%2C-1%2C0%2C1%2C%2C%2C2%2C%2C%2C%2C2%2C%2C10000100000000060000000001066428_0%2CEND&GuardEncType=2
CCTV-3综艺,rtsp://183.59.160.61/PLTV/88888905/224/3221227046/10000100000000060000000000657994_0.smil?rrsip=125.88.70.140,rrsip=125.88.104.45&zoneoffset=480&icpid=1111116&limitflux=-1&limitdur=-1&tenantId=8601&accountinfo=%7E%7EV2.0%7EanoGgbQj8eOZ9W_u7CNyVQ%7EZYIp730Dq_eFcfJ0_XfdgDfdy-XkoGL2fnmkoBVtANKWFLa-t3x3nFn79cGQSixecprzhIwphk9uGR-Y95jH24Slb1W8BIo8vm2kE85Rw0o%7EExtInfoPC2ZKLw95m5z2wHEEFeSaQ%3A20231024184041%2C10500005255271%2C10.101.240.206%2C20231024184041%2C02000001000000050000000000000214%2C10001000377133%2C-1%2C0%2C1%2C%2C%2C2%2C%2C%2C%2C2%2C%2C10000100000000060000000000657994_0%2CEND&GuardEncType=2
CCTV-4中文国际,rtsp://183.59.160.61/PLTV/88888905/224/3221227284/10000100000000060000000001066429_0.smil?rrsip=125.88.70.140,rrsip=125.88.104.45&zoneoffset=480&icpid=1111116&limitflux=-1&limitdur=-1&tenantId=8601&accountinfo=%7E%7EV2.0%7EJHXI6JZ75puLBitXQZRGcg%7EZYIp730Dq_eFcfJ0_XfdgDfdy-XkoGL2fnmkoBVtANKWFLa-t3x3nFn79cGQSixecprzhIwphk9uGR-Y95jH24Slb1W8BIo8vm2kE85Rw0o%7EExtInfoPC2ZKLw95m5z2wHEEFeSaQ%3A20231024184041%2C10500005255271%2C10.101.240.206%2C20231024184041%2C02000000000000050000000000000053%2C10001000377133%2C-1%2C0%2C1%2C%2C%2C2%2C%2C%2C%2C2%2C%2C10000100000000060000000001066429_0%2CEND&GuardEncType=2
CCTV-5体育,rtsp://183.59.160.61/PLTV/88888905/224/3221227038/10000100000000060000000000657995_0.smil?rrsip=125.88.70.140,rrsip=125.88.104.45&zoneoffset=480&icpid=1111116&limitflux=-1&limitdur=-1&tenantId=8601&accountinfo=%7E%7EV2.0%7EBUa1GV61hIH1uoI67R8iDg%7EZYIp730Dq_eFcfJ0_XfdgDfdy-XkoGL2fnmkoBVtANKWFLa-t3x3nFn79cGQSixecprzhIwphk9uGR-Y95jH24Slb1W8BIo8vm2kE85Rw0o%7EExtInfoPC2ZKLw95m5z2wHEEFeSaQ%3A20231024184041%2C10500005255271%2C10.101.240.206%2C20231024184041%2C02000001000000050000000000000216%2C10001000377133%2C-1%2C0%2C1%2C%2C%2C2%2C%2C%2C%2C2%2C%2C10000100000000060000000000657995_0%2CEND&GuardEncType=2
CCTV-6电影,rtsp://183.59.160.61/PLTV/88888905/224/3221226991/10000100000000060000000000657996_0.smil?rrsip=125.88.70.140,rrsip=125.88.104.45&zoneoffset=480&icpid=1111116&limitflux=-1&limitdur=-1&tenantId=8601&accountinfo=%7E%7EV2.0%7E0FpEETCswoud5_UiBhHj5g%7EZYIp730Dq_eFcfJ0_XfdgDfdy-XkoGL2fnmkoBVtANKWFLa-t3x3nFn79cGQSixecprzhIwphk9uGR-Y95jH24Slb1W8BIo8vm2kE85Rw0o%7EExtInfoPC2ZKLw95m5z2wHEEFeSaQ%3A20231024184041%2C10500005255271%2C10.101.240.206%2C20231024184041%2C02000001000000050000000000000217%2C10001000377133%2C-1%2C0%2C1%2C%2C%2C2%2C%2C%2C%2C2%2C%2C10000100000000060000000000657996_0%2CEND&GuardEncType=2
CCTV-7国防军事,rtsp://183.59.160.61/PLTV/88888905/224/3221227290/10000100000000060000000001066434_0.smil?rrsip=125.88.70.140,rrsip=125.88.104.45&zoneoffset=480&icpid=1111116&limitflux=-1&limitdur=-1&tenantId=8601&accountinfo=%7E%7EV2.0%7EFF5AIRxXIh2YfWpqXU6Caw%7EZYIp730Dq_eFcfJ0_XfdgDfdy-XkoGL2fnmkoBVtANKWFLa-t3x3nFn79cGQSixecprzhIwphk9uGR-Y95jH24Slb1W8BIo8vm2kE85Rw0o%7EExtInfoPC2ZKLw95m5z2wHEEFeSaQ%3A20231024184041%2C10500005255271%2C10.101.240.206%2C20231024184041%2C02000000000000050000000000000102%2C10001000377133%2C-1%2C0%2C1%2C%2C%2C2%2C%2C%2C%2C2%2C%2C10000100000000060000000001066434_0%2CEND&GuardEncType=2
CCTV-8电视剧,rtsp://183.59.160.61/PLTV/88888905/224/3221227041/10000100000000060000000000657998_0.smil?rrsip=125.88.70.140,rrsip=125.88.104.45&zoneoffset=480&icpid=1111116&limitflux=-1&limitdur=-1&tenantId=8601&accountinfo=%7E%7EV2.0%7EJWh5YqTX4vEtfX8Z7_qhHQ%7EZYIp730Dq_eFcfJ0_XfdgDfdy-XkoGL2fnmkoBVtANKWFLa-t3x3nFn79cGQSixecprzhIwphk9uGR-Y95jH24Slb1W8BIo8vm2kE85Rw0o%7EExtInfoPC2ZKLw95m5z2wHEEFeSaQ%3A20231024184041%2C10500005255271%2C10.101.240.206%2C20231024184041%2C02000001000000050000000000000218%2C10001000377133%2C-1%2C0%2C1%2C%2C%2C2%2C%2C%2C%2C2%2C%2C10000100000000060000000000657998_0%2CEND&GuardEncType=2
CCTV-9纪录,rtsp://183.59.160.61/PLTV/88888905/224/3221227272/10000100000000060000000001030757_0.smil?rrsip=125.88.70.140,rrsip=125.88.104.45&zoneoffset=480&icpid=1111116&limitflux=-1&limitdur=-1&tenantId=8601&accountinfo=%7E%7EV2.0%7EycZOnUht5dpMMp3wNyRUVw%7EZYIp730Dq_eFcfJ0_XfdgDfdy-XkoGL2fnmkoBVtANKWFLa-t3x3nFn79cGQSixecprzhIwphk9uGR-Y95jH24Slb1W8BIo8vm2kE85Rw0o%7EExtInfoPC2ZKLw95m5z2wHEEFeSaQ%3A20231024184041%2C10500005255271%2C10.101.240.206%2C20231024184041%2C02000000000000050000000000000084%2C10001000377133%2C-1%2C0%2C1%2C%2C%2C2%2C%2C%2C%2C2%2C%2C10000100000000060000000001030757_0%2CEND&GuardEncType=2
CCTV-10科教,rtsp://183.59.160.61/PLTV/88888905/224/3221227287/10000100000000060000000001066432_0.smil?rrsip=125.88.70.140,rrsip=125.88.104.45&zoneoffset=480&icpid=1111116&limitflux=-1&limitdur=-1&tenantId=8601&accountinfo=%7E%7EV2.0%7EmKLUOESBXveOGlWCTv4gaw%7EZYIp730Dq_eFcfJ0_XfdgDfdy-XkoGL2fnmkoBVtANKWFLa-t3x3nFn79cGQSixecprzhIwphk9uGR-Y95jH24Slb1W8BIo8vm2kE85Rw0o%7EExtInfoPC2ZKLw95m5z2wHEEFeSaQ%3A20231024184041%2C10500005255271%2C10.101.240.206%2C20231024184041%2C02000000000000050000000000000087%2C10001000377133%2C-1%2C0%2C1%2C%2C%2C2%2C%2C%2C%2C2%2C%2C10000100000000060000000001066432_0%2CEND&GuardEncType=2
